id,name,owners,length,rfs_date,is_planned,notes,url,landing_points
halaihai,Halaihai,Google,"17,483 km",2029,True,,https://cloud.google.com,"Valparaíso, Chile, Faratea, French Polynesia, Papenoo, French Polynesia, Tanguisson Point, Guam, Tinian, Northern Mariana Islands"
coral-bridge,Coral Bridge,"NaiTel, Telecom Egypt",,2025 August,False,,,"Taba, Egypt, Aqaba, Jordan"
tamtam,Tamtam,Prima,"1,000 km",2027 Q4,True,,https://www.prima.vu/,"We, New Caledonia, Luganville, Vanuatu, Norsup, Vanuatu, Port Vila, Vanuatu, Tanna, Vanuatu"
barat-timur-indonesia-1-bti-1,Barat Timur Indonesia-1 (BTI-1),Super Sistem (PT Super Sistem Data),"4,500 km",2028 Q1,True,,,"Balikpapan, Indonesia, Gresik, Indonesia, Makassar, Indonesia, Manado, Indonesia, Nongsa, Indonesia, Tanjung Pakis, Indonesia"
jeju-udo,Jeju-Udo,"KCTV Jeju Broadcasting, KT, LG Uplus, SK Telecom (SKT)",3 km,2023 December,False,,,"Goseong-ri, South Korea, Udo, South Korea"
domestic-submarine-cable-of-maldives-dscom,Domestic Submarine Cable of Maldives (DSCoM),"Dhiraagu, Ooredoo Maldives",286 km,2024,False,,,"Dhangethi, Maldives, Dhuvaafaru, Maldives, Eydhafushi, Maldives, Hulhumale, Maldives, Kudahuvadhoo, Maldives, Maafushi, Maldives, Maamigili, Maldives, Velidhoo, Maldives"
nome-to-homer-express-nthe,Nome to Homer Express (NTHE),Quintillion,"1,545 km",2027,True,,https://www.quintillionglobal.com/,"Emmonak, AK, United States, Homer, AK, United States, Hooper Bay, AK, United States, Igiugig, AK, United States, Naknek, AK, United States, Nome, AK, United States, Pile Bay, AK, United States, Williamsport, AK, United States"
mercator,Mercator,BT,,2023 June,False,,,"Ostend, Belgium, Broadstairs, United Kingdom"
iceni,Iceni,BT,,2024,False,,,"Callantsoog, Netherlands, Winterton-on-Sea, United Kingdom"
tam-1,TAM-1,Trans Americas Fiber,"7,200 km",2026 Q4,True,,https://transamericasfiber.com/,"Barranquilla, Colombia, Puerto Limon, Costa Rica, Puerto Barrios, Guatemala, Puerto Cortes, Honduras, Cancún, Mexico, Maria Chiquita, Panama, Hollywood, FL, United States, San Juan, PR, United States, Vero Beach, FL, United States, Butler Bay, Virgin Islands (U.S.)"
cross-sound-cable,Cross Sound Cable,Cross Sound Cable Company,40 km,2003,False,,https://www.crosssoundcable.com/dark-fiber-optics/,"New Haven, CT, United States, Shoreham, NY, United States"
tautira-teahupoo,Tautira-Teahupo'o,OPT French Polynesia,38 km,2023 Q4,False,,,"Tautira, French Polynesia, Teahupo'o, French Polynesia"
whidbey-island-seattle,Whidbey Island-Seattle,Whidbey Telecom,44 km,1999,False,,,"Maxwelton, WA, United States, Seattle, WA, United States"
whidbey-island-everett,Whidbey Island-Everett,Whidbey Telecom,9 km,1999,False,,,"Clinton, WA, United States, Everett, WA, United States"
whidbey-island-hat-island,Whidbey Island-Hat Island,Whidbey Telecom,4 km,1999,False,,,"Clinton, WA, United States, Hat Island, WA, United States"
whidbey-island-camano-island,Whidbey Island-Camano Island,Whidbey Telecom,4 km,1999,False,,,"Cama Beach, WA, United States, Greenbank, WA, United States"
israel-coasting-1-ic-1,Israel Coasting 1 (IC-1),Partner Communications Company,340 km,2000 September,False,,,"Ashkelon, Israel, Haifa, Israel, Herzeliyya, Israel, Nahariyya, Israel, Netanya, Israel, Rishon Le’Zion, Israel, Tel Aviv, Israel"
zayo-festoon,Zayo Festoon,Zayo,,2015,False,,,"Los Angeles, CA, United States, San Luis Obispo, CA, United States, Santa Barbara, CA, United States"
fish-south,FISH South,Cordova Telecom Cooperative,900 km,2027,True,,https://www.ctcak.net/,"Cordova, AK, United States, Gustavus, AK, United States, Hoonah, AK, United States, Juneau, AK, United States, Pelican, AK, United States, Yakutat, AK, United States"
patara-2,Patara-2,Telin,"1,200 km",2023 October,False,,,"Manokwari, Indonesia, Supiori, Indonesia, Waisai, Indonesia"
nuvem,Nuvem,Google,"7,194 km",2026,True,,https://cloud.google.com,"Annie's Bay, Bermuda, Sines, Portugal, São Miguel, Portugal, Myrtle Beach, SC, United States"
tko-connect,TKO Connect,"HKBN, iAdvantage",6 km,2023 September,False,,,"Chai Wan, China, Tseung Kwan O, China"
airraq,Airraq,"Unicom, Inc.",840 km,2025 Q1,False,,https://www.gci.com/bethel-airraq-network,"Dillingham, AK, United States, Eek, AK, United States, Platinum, AK, United States, Quinhagak, AK, United States, Togiak, AK, United States"
javali,JAVALI,Indosat Ooredoo,,2011 December,False,,,"Benculuk, Indonesia, Jimbaran, Indonesia"
jalapati,Jalapati,CCSI,45 km,2023 Q1,False,,https://www.ccsi.co.id/home-id-jalapati/,"Candikusuma, Indonesia, Muncar, Indonesia"
fish-north,FISH North,Cordova Telecom Cooperative,90 km,2011,False,,https://www.ctcak.net/,"Cordova, AK, United States, Valdez, AK, United States"
sydney-melbourne-adelaide-perth-smap,Sydney-Melbourne-Adelaide-Perth (SMAP),SUBCO,"5,000 km",2026 June,True,,https://sub.co/,"Adelaide, SA, Australia, Maroubra, NSW, Australia, Perth, WA, Australia, Sydney, NSW, Australia, Torquay, VIC, Australia"
ulleung-mainland-2,Ulleung-Mainland 2,KT,164 km,2016,False,,,"Hosan-ri, South Korea, Ulleung, South Korea"
jeju-mainland-3,Jeju-Mainland 3,KT,236 km,2000,False,,,"Goseong-ri, South Korea, Mijo-myeon, South Korea"
jeju-mainland-2,Jeju-Mainland 2,KT,191 km,1996,False,,,"Goheung, South Korea, Goseong-ri, South Korea"
yuza-tobishima,Yuza-Tobishima,NTT,31 km,2022 February,False,,,"Tobishima, Japan, Yuza, Japan"
yui,YUI,Okinawa Cellular Telephone Company,720 km,2023 July,False,,,"Hirara, Japan, Naha, Japan, Nakadomari, Japan, Shiraho, Japan"
beaufort,Beaufort,"Amazon Web Services, Microsoft, Vodafone",158 km,2027,True,,,"Kilmore Quay, Ireland, Newgale, United Kingdom"
tpu,TPU,Google,"13,470 km",2026 May,False,,https://cloud.google.com,"Tanguisson Point, Guam, Tinian, Northern Mariana Islands, Claveria, Philippines, Dawu, Taiwan, Eureka, CA, United States"
sihanoukville-hong-kong-shv-hk,Sihanoukville-Hong Kong (SHV-HK),Government of Cambodia,"2,938 km",2026,True,,,"Sihanoukville, Cambodia, Tseung Kwan O, China"
american-1,AmeriCan-1,"Bell Canada, Ledcor Industries Inc., Rogers Communications, Zayo",140 km,1999 December,False,,,"Cordova Bay, BC, Canada, Esquimalt, BC, Canada, Oak Harbor, WA, United States, Point Roberts, WA, United States, Seattle, WA, United States"
anjana,Anjana,Meta,"7,121 km",2026,False,,https://about.meta.com/,"Santander, Spain, Myrtle Beach, SC, United States"
sunoque-ii,Sunoque II,"Hydro-Québec, Telus",,1999 October,False,,,"Bic, QC, Canada, Forestville, QC, Canada"
sunoque-i,Sunoque I,"Hydro-Québec, Telus",,1999 October,False,,,"Baie-Comeau, QC, Canada, Pointe-au-Père, QC, Canada"
vancouver-bowen-island-vancouver-island,Vancouver-Bowen Island-Vancouver Island,Rogers Communications,75 km,2019 April,False,,,"Cape Roger Curtis, BC, Canada, French Creek, BC, Canada, Horseshoe Bay, BC, Canada, Snug Cove, BC, Canada"
fish-west,FISH West,Cordova Telecom Cooperative,276 km,2027,True,,https://www.ctcak.net/,"Chenega, AK, United States, Cordova, AK, United States, Johnstone Point, AK, United States, Seward, AK, United States"
sunoque-iii,Sunoque III,"Hydro-Québec, Telus",125 km,2027,True,,https://www.telus.com/,"Sainte-Anne-des-Monts, QC, Canada, Sept-Îles, QC, Canada"
t3,T3,"Liquid Intelligent Technologies, Mauritius Telecom","3,200 km",2023 Q4,False,,,"Baie Jacotet, Mauritius, Amanzimtoti, South Africa"
submarine-cable-in-the-philippines-scip,Submarine Cable in the Philippines (SCiP),DITO Telecommunity,"1,638 km",2022,False,,https://dito.ph/,"Allen, Philippines, Batangas, Philippines, Butuan City, Philippines, Cagayan de Oro, Philippines, Coron, Philippines, Daanbantayan, Philippines, Dumaguete, Philippines, Liloan, Philippines, Maasin, Philippines, Matnog, Philippines, Nabas, Philippines, Ormoc, Philippines, Pinamalayan, Philippines, Roxas, Philippines, San Jose, Philippines, Talisay, Philippines, Taytay, Philippines"
taiwan-penghu-kinmen-matsu-no-2-tpkm2,Taiwan Penghu Kinmen Matsu No.2 (TPKM2),Chunghwa Telecom,467 km,2000,False,,,"Budai, Taiwan, Dongyin, Taiwan, Huxi Township, Taiwan, Jinhu Township, Taiwan, Tanshui, Taiwan, Yuanli, Taiwan"
red2med,Red2Med,Telecom Egypt,420 km,2023 Q1,False,,https://www.te.eg/interactivemap/#/the-digital-hub,"Port Said, Egypt, Ras Ghareb, Egypt, Suez, Egypt, Zafarana, Egypt"
r100-north,R100 North,BT,224 km,2023 Q1,False,,https://www.scotlandsuperfast.com/r100-programme/r100-subsea-deployment/,"Baile Mòr, United Kingdom, Bay of London, United Kingdom, Belmont, United Kingdom, Burravoe, United Kingdom, Crockness, United Kingdom, Cusbay, United Kingdom, Evie, United Kingdom, Fair Isle, United Kingdom, Fionnaphort, United Kingdom, Gump of Spurness, United Kingdom, Gutcher, United Kingdom, Hoxa, United Kingdom, Kiloran Bay, United Kingdom, Laig, United Kingdom, Linksness, United Kingdom, Morar, United Kingdom, Mossbank, United Kingdom, Odie, United Kingdom, Port Appin, United Kingdom, Port Ramsay, United Kingdom, Quoyness, United Kingdom, Rapness, United Kingdom, Sandgarth, United Kingdom, Scoor, United Kingdom, Scuthvie Bay, United Kingdom, Skelberry, United Kingdom, Stove, United Kingdom, Sumburgh, United Kingdom, Symbister, United Kingdom, Weddel, United Kingdom, Westness, United Kingdom"
