id,name,longitude,latitude
estepona-spain,"Estepona, Spain",-5.145869384899948,36.42710220192439
fujairah-united-arab-emirates,"Fujairah, United Arab Emirates",56.33372573425405,25.12169311729696
penang-malaysia,"Penang, Malaysia",100.40982400223058,5.368393581488473
songkhla-thailand,"Songkhla, Thailand",100.5951000000003,7.198819999999446
island-park-ny-united-states,"Island Park, NY, United States",-73.6559282736054,40.60030327678829
danang-vietnam,"Danang, Vietnam",108.21474366875417,16.051559827539638
mersing-malaysia,"Mersing, Malaysia",103.84990301084824,2.295511672819276
tuas-singapore,"Tuas, Singapore",103.64707112328632,1.338192522185158
tuckerton-nj-united-states,"Tuckerton, NJ, United States",-74.33791021235805,39.60388495499803
boca-raton-fl-united-states,"Boca Raton, FL, United States",-80.08894373592818,26.350323169523403
naha-japan,"Naha, Japan",127.68055019149426,26.21241384638718
toucheng-taiwan,"Toucheng, Taiwan",121.80145279380189,24.863592858849902
karachi-pakistan,"Karachi, Pakistan",67.02854237669561,24.88937409747322
puerto-barrios-guatemala,"Puerto Barrios, Guatemala",-88.59723848982233,15.727143540875408
whenuapai-new-zealand,"Whenuapai, New Zealand",174.6233880304975,-36.788806016342754
valparaso-chile,"Valparaíso, Chile",-71.62048049678572,-33.045765558769304
lurin-peru,"Lurin, Peru",-76.87428536869109,-12.278527239265857
rio-de-janeiro-brazil,"Rio de Janeiro, Brazil",-43.209563123346165,-22.90339400756494
santos-brazil,"Santos, Brazil",-46.32806677354495,-23.961845467703107
las-toninas-argentina,"Las Toninas, Argentina",-56.695491069788275,-36.47252952471871
maldonado-uruguay,"Maldonado, Uruguay",-54.95017980618316,-34.900379504866834
fort-amador-panama,"Fort Amador, Panama",-79.54673220597367,8.934109660849998
maruyama-japan,"Maruyama, Japan",139.97546699999984,35.005432999999265
makaha-hi-united-states,"Makaha, HI, United States",-158.2206478576183,21.463431186887963
morro-bay-ca-united-states,"Morro Bay, CA, United States",-120.84720343661348,35.3666813511006
hillsboro-or-united-states,"Hillsboro, OR, United States",-122.98980067645105,45.522898824562965
kahe-point-hi-united-states,"Kahe Point, HI, United States",-158.1305815657343,21.35398165191293
suva-fiji,"Suva, Fiji",178.43744782858172,-18.123812280017187
savona-italy,"Savona, Italy",8.483759631619103,44.305540140669045
baby-beach-aruba,"Baby Beach, Aruba",-69.87868485568913,12.414141621401608
halifax-ns-canada,"Halifax, NS, Canada",-63.573952993896306,44.64579771640326
lynn-ma-united-states,"Lynn, MA, United States",-70.95026612782192,42.46366906639672
dublin-ireland,"Dublin, Ireland",-6.248261182079236,53.348045408252375
southport-united-kingdom,"Southport, United Kingdom",-3.006368947416131,53.64793071295795
bude-united-kingdom,"Bude, United Kingdom",-4.544404967232005,50.82811048000128
san-juan-pr-united-states,"San Juan, PR, United States",-66.10666604344867,18.465839112933374
arica-chile,"Arica, Chile",-70.30671189622174,-18.473810108334412
haramous-djibouti,"Haramous, Djibouti",43.16166943911836,11.57367892559012
yeroskipos-cyprus,"Yeroskipos, Cyprus",32.46655514198169,34.76641137968897
marmaris-turkey,"Marmaris, Turkey",28.25366750143074,36.85524944302755
mazara-del-vallo-italy,"Mazara del Vallo, Italy",12.591276253065702,37.650130188288585
sesimbra-portugal,"Sesimbra, Portugal",-9.1027513474316,38.44269349871853
goonhilly-downs-united-kingdom,"Goonhilly Downs, United Kingdom",-5.174531473969396,50.0248026869269
sylt-germany,"Sylt, Germany",8.383369077736644,54.89850565849031
dakar-senegal,"Dakar, Senegal",-17.451915354680473,14.686597713745336
conil-de-la-frontera-spain,"Conil de la Frontera, Spain",-6.087226139907921,36.2765632358394
nassau-bahamas,"Nassau, Bahamas",-77.34025183547105,25.067038149721757
crooked-island-bahamas,"Crooked Island, Bahamas",-74.19499039172877,22.629711836470232
providenciales-turks-and-caicos-islands,"Providenciales, Turks and Caicos Islands",-72.12023600213026,21.851092241181057
punta-cana-dominican-republic,"Punta Cana, Dominican Republic",-68.43825618860332,18.621279512611874
puerto-plata-dominican-republic,"Puerto Plata, Dominican Republic",-70.6912331081983,19.79934388457018
riohacha-colombia,"Riohacha, Colombia",-72.95270611552462,11.482908943707109
bluefields-nicaragua,"Bluefields, Nicaragua",-83.77146065844866,11.991778023043153
puerto-lempira-honduras,"Puerto Lempira, Honduras",-83.77675850625805,15.261220674450207
trujillo-honduras,"Trujillo, Honduras",-85.95475989302918,15.915150827636316
the-valley-anguilla,"The Valley, Anguilla",-63.0572053130902,18.217405253293137
cagliari-italy,"Cagliari, Italy",9.109345125948376,39.21530980337921
civitavecchia-italy,"Civitavecchia, Italy",11.796843222099477,42.091130652249426
olbia-italy,"Olbia, Italy",9.49644289999974,40.923576400000215
khark-island-iran,"Khark Island, Iran",50.31205031256539,29.245773309269826
soroosh-platform-iran,"Soroosh Platform, Iran",49.47806652836741,29.072484050458698
diba-oman,"Diba, Oman",56.258042194119106,25.616974601949348
tanah-merah-singapore,"Tanah Merah, Singapore",103.9465826298595,1.327257988673153
nanhui-china,"Nanhui, China",121.92506915087795,30.864713861582327
west-palm-beach-fl-united-states,"West Palm Beach, FL, United States",-80.05334805801945,26.715357789296696
magens-bay-vi-united-states,"Magen’s Bay, VI, United States",-64.93708679386458,18.372989080105853
samandag-turkey,"Samandag, Turkey",35.99926748312506,36.08233778303261
girne-cyprus,"Girne, Cyprus",33.23628115920059,35.2991225036909
bozyazi-turkey,"Bozyazi, Turkey",32.966701999999856,36.09999800000024
daet-philippines,"Daet, Philippines",122.94988948023871,14.116616393710665
cockburn-town-bahamas,"Cockburn Town, Bahamas",-74.53024406048189,24.05253194857149
ajaccio-france,"Ajaccio, France",8.738642263557752,41.91932911005837
la-seyne-france,"La Seyne, France",5.878097414994473,43.1029080448373
lle-rousse-france,"L’Île-Rousse, France",8.937079622982862,42.6365095071255
cannes-france,"Cannes, France",7.01735442043418,43.552927166028965
alsgarde-denmark,"Alsgarde, Denmark",12.536881760350429,56.074882184341305
kristiansand-norway,"Kristiansand, Norway",7.996259976968266,58.15095596477219
monte-carlo-monaco,"Monte Carlo, Monaco",7.42721741133341,43.73973086446908
otranto-italy,"Otranto, Italy",18.48570567114653,40.14805341338409
umag-croatia,"Umag, Croatia",13.520181845020224,45.43310919075176
mestre-italy,"Mestre, Italy",12.244108530252593,45.49587287439114
vaasa-finland,"Vaasa, Finland",21.6163675158564,63.09519496029314
ume-sweden,"Umeå, Sweden",20.262950505879612,63.82586986108827
nynashamn-sweden,"Nynashamn, Sweden",17.94654589684356,58.902924681852696
meremisa-estonia,"Meremöisa, Estonia",24.276619537558968,59.40084650364711
dubrovnik-croatia,"Dubrovnik, Croatia",18.106409064843877,42.64186152795143
aethos-greece,"Aethos, Greece",20.01544924229398,39.683615198996556
corfu-greece,"Corfu, Greece",19.9194937179377,39.61929827180403
durres-albania,"Durres, Albania",19.45006045673864,41.316693174085714
bridgetown-barbados,"Bridgetown, Barbados",-59.61336009649245,13.098954014787664
castries-saint-lucia,"Castries, Saint Lucia",-61.00681614060512,13.994222056803721
pointe-a-pitre-guadeloupe,"Pointe-a-Pitre, Guadeloupe",-61.53308529904113,16.241044022954217
roseau-dominica,"Roseau, Dominica",-61.37073189842878,15.251799221840017
governors-harbor-bahamas,"Governors Harbor, Bahamas",-76.24064323944407,25.196118966380833
duncan-town-bahamas,"Duncan Town, Bahamas",-75.73346586435832,22.183261833926533
mayaguana-bahamas,"Mayaguana, Bahamas",-73.0641318178386,22.40156502331468
kuala-tungkal-indonesia,"Kuala Tungkal, Indonesia",103.46670015731281,-0.816539442758962
batam-indonesia,"Batam, Indonesia",104.01664054897991,1.066796188550793
sakra-island-singapore,"Sakra Island, Singapore",103.70419998906566,1.258916074584671
grover-beach-ca-united-states,"Grover Beach, CA, United States",-120.62142234655879,35.1206334382351
shima-japan,"Shima, Japan",136.87439133474103,34.33683057441225
ajigaura-japan,"Ajigaura, Japan",140.61227931178595,36.38355921004956
brookhaven-ny-united-states,"Brookhaven, NY, United States",-72.91227645666531,40.773148001414974
beverwijk-netherlands,"Beverwijk, Netherlands",4.656906873847417,52.48631265079464
whitesands-bay-united-kingdom,"Whitesands Bay, United Kingdom",-5.6984568840657,50.07851709909518
tijuana-mexico,"Tijuana, Mexico",-117.03822175993173,32.53084977596535
northport-ny-united-states,"Northport, NY, United States",-73.34411208824892,40.90945509894606
takapuna-new-zealand,"Takapuna, New Zealand",174.76791917811025,-36.78796527793357
st-ouens-bay-jersey,"St. Ouens Bay, Jersey",-2.225900750307065,49.215711233966566
archirondel-jersey,"Archirondel, Jersey",-2.021311051490342,49.22527885088672
surville-france,"Surville, France",-1.650022252014811,49.28329065675959
